Main>varAmbiente;Main>varFuncionalidadAEjecutar;Main>TipoDeSolicitud;Main>varCasoRegistro;Main>varCasoLogin;Main>varCasoSolicitud;Main>varPasoAValidar;Formulario1>varTipoSociedad;Formulario1>varOpcionesOtro;Formulario2>EscribirNivelVentas;Formulario3>varOpcionesSelect;Formulario4>varNecesitasFinanciazion;Formulario5>EscribirNit;Formulario5>EscribirCelular;Formulario5>EscribirCorreo;Formulario5>EscribirContrasena;Login>EscribirCorreo;Login>EscribirPassword
qa;registro;;nit longitud no valida;datos validos;;;Otro;Sociedad colectiva;200000000;Evento;si;12345;3114812564;;pruebasatm123*;;
qa;registro;;correo vacio;datos validos;;;Otro;Sociedad colectiva;200000000;Evento;si;;3114812564;;pruebasatm123*;;
qa;registro;;nit vacio;datos validos;;;Otro;Sociedad colectiva;200000000;Evento;si;;3114812564;;pruebasatm123*;;
qa;registro;;correo no valido;datos validos;;;Otro;Sociedad colectiva;200000000;Evento;si;;3114812564;prueba no valido;pruebasatm123*;;
qa;registro;;datos validos;datos validos;;;Otro;Sociedad colectiva;200000000;Evento;si;;3114812564;;pruebasatm123*;;
qa;login;;;correo vacio;;;Otro;Sociedad colectiva;200000000;Evento;si;;3114812564;;pruebasatm123*;;pruebasatm123*
qa;login;;;clave vacia;;;Otro;Sociedad colectiva;200000000;Evento;si;;3114812564;;pruebasatm123*;greenatm3245@mailinator.com;
qa;login;;;clave no valida;;;Otro;Sociedad colectiva;200000000;Evento;si;;3114812564;;pruebasatm123*;greenatm3245@mailinator.com;pruebasatm123
qa;login;;;correo no valido;;;Otro;Sociedad colectiva;200000000;Evento;si;;3114812564;;pruebasatm123*;greenatm3245mailinator.com;pruebasatm123*
qa;login;;;datos validos;;;Otro;Sociedad colectiva;200000000;Evento;si;;3114812564;;pruebasatm123*;greenatm3245@mailinator.com;pruebasatm123*
qa;credito;;datos validos;datos validos;representante igual al usuario;;Otro;Sociedad colectiva;200000000;Evento;si;;3114812564;;pruebasatm123*;greenatm6033@mailinator.com;pruebasatm123*
qa;credito;;datos validos;datos validos;flujo alterno;3;Otro;Sociedad colectiva;200000000;Evento;si;;3114812564;;pruebasatm123*;greenatm7065@mailinator.com;pruebasatm123*
qa;factoring;;datos validos;datos validos;;;Otro;Sociedad colectiva;200000000;Evento;si;;3114812564;;pruebasatm123*;greenatm6964@mailinator.com;pruebasatm123*
